Id;Group;Species;PM name;Project;Playlist;Link;Observer;#Present;#Absent;Obs;Filters used;Verified T and G
88;Bird;Xiphorhynchus pardalotus;Xiphorhynchus_pardalotus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34045;Tomaz;220;1023;;Score, 200 Top Scores per Site, Best per Site, Day;ok
89;Bird;Sittasomus griseicapillus;Sittasomus_griseicapillus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34017;Tomaz;105;1728;;Score, 200 Top Scores per Site, Best per Site, Day;ok
90;Bird;Micrastur mirandollei;Micrastur_mirandollei_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34066;Gabriel;24;1233;;Score, 200 Top Scores per Site, Best per Site, Day;ok
91;Bird;Tunchiornis ochraceiceps;Tunchiornis_ochraceiceps_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34067;Gabriel;85;1138;;Score, 200 Top Scores per Site, Best per Site, Day;ok
92;Bird;Thamnomanes caesius;Thamnomanes_caesius_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34069;Gabriel;82;1064;;Score, 200 Top Scores per Site, Best per Site, Day;ok
93;Bird;Odontophorus gujanensis;Odontophorus_gujanensis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34070;Gabriel;17;1066;;Score, 200 Top Scores per Site, Best per Site, Day;ok
94;Bird;Deconychura longicauda;Deconychura_longicauda_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34242;Gabriel;51;1160;;Score, 200 Top Scores per Site, Best per Site, Day;ok
95;Bird;Microbates collaris;Microbates_collaris_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34245;Gabriel;66;1207;;Score, 200 Top Scores per Site, Best per Site, Day;ok
96;Bird;Dendrocolaptes picumnus;Dendrocolaptes_picumnus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34272;Gabriel;44;1165;;Score, 200 Top Scores per Site, Best per Site, Day;ok
97;Bird;Myrmotherula axillaris;Myrmotherula_axillaris_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34277;Gabriel;28;1108;;Score, 200 Top Scores per Site, Best per Site, Day;ok
98;Bird;Dryocopus lineatus;Dryiocopus_lineatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34278;Gabriel;27;1157;;Score, 200 Top Scores per Site, Best per Site, Day;ok
99;Bird;Conopias parvus;Conopias_parvus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34273;Gabriel;19;1154;;Score, 200 Top Scores per Site, Best per Site, Day;ok
100;Bird;Dendrexetastes rufigula;Dendrexetastes_rufigula_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34288;Gabriel;42;1254;;Score, 200 Top Scores per Site, Best per Site, Day;ok
